iter	Passed	Remaining
0	0	766
1	1	684
2	1	647
3	2	630
4	3	621
5	3	608
6	4	603
7	4	598
8	5	595
9	5	590
10	6	589
11	7	587
12	7	585
13	8	584
14	8	584
15	9	582
16	10	581
17	10	577
18	11	573
19	11	573
20	12	575
21	12	573
22	14	596
23	14	599
24	15	597
25	15	595
26	16	593
27	17	592
28	17	589
29	18	589
30	18	587
31	19	585
32	19	584
33	20	582
34	21	581
35	21	579
36	22	578
37	22	578
38	23	576
39	23	575
40	24	573
41	25	572
42	25	571
43	26	572
44	26	571
45	27	570
46	28	578
47	29	579
48	29	579
49	30	579
50	31	577
51	31	576
52	32	575
53	32	574
54	33	572
55	33	571
56	34	570
57	35	570
58	35	568
59	36	567
60	36	566
61	37	565
62	37	563
63	38	562
64	39	561
65	39	560
66	40	559
67	40	559
68	41	559
69	42	559
70	43	564
71	43	564
72	44	563
73	44	561
74	45	559
75	45	558
76	46	556
77	46	554
78	47	552
79	47	551
80	48	549
81	48	548
82	49	543
83	49	542
84	50	541
85	50	539
86	51	538
87	51	537
88	52	535
89	52	534
90	53	533
91	54	533
92	54	532
93	55	531
94	55	529
95	56	528
96	56	526
97	57	532
98	58	531
99	59	531
100	59	529
101	60	528
102	60	527
103	61	526
104	61	524
105	62	523
106	62	522
107	63	521
108	63	519
109	64	518
110	64	517
111	65	516
112	65	515
113	66	513
114	66	512
115	67	511
116	67	509
117	68	509
118	68	508
119	69	507
120	69	506
121	70	504
122	70	503
123	71	502
124	72	507
125	73	506
126	73	505
127	73	503
128	74	503
129	75	502
130	75	501
131	76	500
132	76	499
133	77	498
134	77	497
135	78	496
136	78	495
137	79	494
138	79	494
139	80	493
140	80	492
141	81	490
142	81	490
143	82	489
144	83	489
145	83	488
146	84	488
147	84	487
148	85	486
149	85	485
150	86	488
151	87	487
152	87	486
153	88	486
154	89	485
155	89	484
156	90	483
157	90	482
158	91	482
159	91	481
160	91	479
161	92	478
162	93	477
163	93	476
164	94	476
165	94	475
166	95	474
167	95	473
168	96	474
169	96	473
170	97	472
171	98	472
172	98	471
173	99	470
174	99	470
175	100	470
176	101	471
177	101	470
178	102	470
179	103	469
180	103	468
181	104	468
182	104	467
183	105	466
184	105	465
185	106	464
186	106	463
187	107	462
188	107	462
189	108	461
190	108	460
191	109	459
192	109	459
193	110	460
194	111	459
195	111	458
196	112	457
197	112	457
198	113	456
199	113	455
200	114	455
201	115	456
202	116	456
203	116	455
204	117	455
205	117	454
206	118	453
207	118	452
208	119	451
209	119	451
210	120	450
211	120	449
212	121	448
213	122	448
214	122	447
215	123	446
216	123	446
217	124	446
218	124	445
219	125	444
220	125	444
221	126	443
222	127	442
223	127	441
224	128	441
225	128	440
226	129	439
227	130	440
228	130	440
229	131	439
230	131	439
231	132	438
232	132	437
233	133	436
234	134	436
235	134	435
236	135	434
237	135	433
238	136	433
239	136	432
240	137	431
241	137	431
242	138	430
243	138	429
244	139	428
245	139	428
246	140	427
247	140	426
248	141	425
249	141	425
250	142	424
251	142	423
252	143	422
253	143	422
254	144	423
255	145	422
256	145	422
257	146	421
258	147	420
259	147	419
260	148	419
261	148	418
262	149	417
263	149	416
264	150	416
265	150	415
266	151	414
267	151	414
268	152	413
269	152	413
270	153	412
271	153	411
272	154	411
273	154	410
274	155	409
275	155	408
276	156	408
277	156	407
278	157	406
279	158	406
280	159	407
281	159	407
282	160	406
283	160	405
284	161	404
285	161	404
286	162	403
287	162	402
288	163	402
289	164	401
290	164	400
291	165	400
292	165	399
293	166	398
294	166	398
295	167	397
296	167	397
297	168	396
298	168	395
299	169	395
300	169	394
301	170	393
302	170	393
303	171	392
304	171	391
305	172	391
306	173	391
307	174	391
308	174	390
309	175	390
310	175	389
311	176	388
312	176	388
313	177	387
314	177	386
315	178	386
316	178	385
317	179	384
318	180	384
319	180	384
320	181	383
321	181	383
322	182	382
323	182	381
324	183	381
325	184	380
326	184	379
327	185	379
328	185	378
329	186	377
330	186	377
331	187	376
332	188	377
333	188	376
334	189	376
335	189	375
336	190	374
337	190	374
338	191	373
339	192	372
340	192	372
